,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
699,2018-12-01,34.0,13.0,34.48,15.9,9120.0,台南七股光電,1799.5
700,2018-12-02,34.95,0.8,14.28,7.94,8730.0,台南七股光電,1799.5
701,2018-12-03,44.8,14.65,35.78,17.63,8809.0,台南七股光電,1799.5
702,2018-12-04,19.35,8.15,14.11,1.92,9013.0,台南七股光電,1799.5
703,2018-12-05,13.6,0.85,7.24,1.24,7448.0,台南七股光電,1799.5
704,2018-12-06,22.2,2.85,12.05,1.94,7272.0,台南七股光電,1799.5
705,2018-12-07,27.5,7.7,19.77,3.45,5745.0,台南七股光電,1799.5
706,2018-12-08,28.6,6.3,19.18,3.22,6940.0,台南七股光電,1799.5
707,2018-12-09,30.55,11.75,29.39,6.33,6901.0,台南七股光電,1799.5
708,2018-12-10,30.25,9.05,25.4,6.1,5078.0,台南七股光電,1799.5
709,2018-12-11,30.15,7.25,20.72,6.43,5136.0,台南七股光電,1799.5
710,2018-12-12,29.6,6.3,17.4,5.06,2491.0,台南七股光電,1799.5
711,2018-12-13,30.55,10.75,22.03,4.62,8103.0,台南七股光電,1799.5
712,2018-12-14,25.35,2.5,11.36,2.72,8007.0,台南七股光電,1799.5
713,2018-12-15,17.75,9.5,15.46,2.52,8164.0,台南七股光電,1799.5
714,2018-12-16,12.85,4.3,11.77,2.42,7682.0,台南七股光電,1799.5
715,2018-12-17,17.15,1.15,10.18,0.0,6894.0,台南七股光電,1799.5
716,2018-12-18,17.55,10.8,23.06,4.14,8321.0,台南七股光電,1799.5
717,2018-12-19,24.6,5.7,20.3,4.03,8215.0,台南七股光電,1799.5
718,2018-12-20,26.35,9.05,24.06,5.06,8511.0,台南七股光電,1799.5
719,2018-12-21,30.65,8.4,22.3,4.07,7935.0,台南七股光電,1799.5
720,2018-12-22,29.7,7.75,22.44,5.64,6973.0,台南七股光電,1799.5
721,2018-12-23,28.9,6.75,19.09,4.06,4411.0,台南七股光電,1799.5
722,2018-12-24,27.05,1.4,11.72,3.0,5917.0,台南七股光電,1799.5
723,2018-12-25,27.4,5.7,16.58,4.54,7485.0,台南七股光電,1799.5
724,2018-12-26,24.85,4.1,13.64,3.84,6924.0,台南七股光電,1799.5
725,2018-12-27,21.55,3.9,12.58,3.52,8481.0,台南七股光電,1799.5
726,2018-12-28,21.3,3.9,12.48,3.42,6035.0,台南七股光電,1799.5
727,2018-12-29,20.95,9.95,18.97,4.36,7977.0,台南七股光電,1799.5
728,2018-12-30,21.3,2.35,10.64,4.6,7918.0,台南七股光電,1799.5
729,2018-12-31,26.9,10.75,24.24,5.46,3948.0,台南七股光電,1799.5
730,2019-01-01,25.95,6.15,18.63,4.32,3760.0,台南七股光電,1799.5
731,2019-01-02,28.0,3.25,12.34,5.3,3130.0,台南七股光電,1799.5
732,2019-01-03,27.8,-48.35,13.87,3.77,7271.0,台南七股光電,1799.5
733,2019-01-04,30.25,0.55,10.2,4.05,6229.0,台南七股光電,1799.5
734,2019-01-05,26.5,1.05,8.7,3.9,7513.0,台南七股光電,1799.5
735,2019-01-06,28.1,6.6,15.89,3.14,8099.0,台南七股光電,1799.5
736,2019-01-07,22.55,10.35,19.6,3.06,8063.0,台南七股光電,1799.5
737,2019-01-08,19.55,9.8,15.59,2.68,7599.0,台南七股光電,1799.5
738,2019-01-09,20.15,7.35,14.43,2.44,8862.0,台南七股光電,1799.5
739,2019-01-10,18.0,9.75,17.34,3.14,4618.0,台南七股光電,1799.5
740,2019-01-11,22.65,2.15,10.34,2.5,6989.0,台南七股光電,1799.5
741,2019-01-12,23.55,10.95,22.94,4.04,6825.0,台南七股光電,1799.5
742,2019-01-13,29.1,10.1,23.99,5.1,6559.0,台南七股光電,1799.5
743,2019-01-14,29.75,9.7,24.34,6.39,7622.0,台南七股光電,1799.5
744,2019-01-15,31.1,10.3,24.86,6.2,6910.0,台南七股光電,1799.5
745,2019-01-16,29.35,3.25,11.77,4.27,2671.0,台南七股光電,1799.5
746,2019-01-17,29.75,6.15,19.34,4.68,5771.0,台南七股光電,1799.5
747,2019-01-18,26.5,8.75,19.4,3.72,9534.0,台南七股光電,1799.5
748,2019-01-19,21.2,1.45,10.82,3.26,3614.0,台南七股光電,1799.5
749,2019-01-20,21.75,0.15,7.6,2.11,4131.0,台南七股光電,1799.5
750,2019-01-21,13.7,8.7,15.5,3.04,3497.0,台南七股光電,1799.5
751,2019-01-22,19.25,1.45,11.62,3.09,7063.0,台南七股光電,1799.5
752,2019-01-23,21.05,7.75,18.81,3.98,8716.0,台南七股光電,1799.5
753,2019-01-24,22.05,10.85,23.96,5.08,9295.0,台南七股光電,1799.5
754,2019-01-25,28.5,8.55,23.68,6.5,8702.0,台南七股光電,1799.5
755,2019-01-26,29.15,6.55,18.88,5.95,6439.0,台南七股光電,1799.5
756,2019-01-27,30.4,7.45,21.62,4.53,6101.0,台南七股光電,1799.5
757,2019-01-28,27.9,-47.2,14.82,5.2,9483.0,台南七股光電,1799.5
758,2019-01-29,30.35,10.15,23.55,5.8,9156.0,台南七股光電,1799.5
759,2019-01-30,29.7,10.7,20.98,4.62,8133.0,台南七股光電,1799.5
760,2019-01-31,20.65,4.6,13.78,3.36,4550.0,台南七股光電,1799.5
761,2019-02-01,21.5,9.6,15.56,2.84,5534.0,台南七股光電,1799.5
762,2019-02-02,18.4,9.35,16.13,3.16,8950.0,台南七股光電,1799.5
763,2019-02-03,28.55,10.65,25.1,9.47,5983.0,台南七股光電,1799.5
764,2019-02-04,31.1,14.15,35.18,9.82,7117.0,台南七股光電,1799.5
765,2019-02-05,39.7,14.95,37.09,10.61,5162.0,台南七股光電,1799.5
766,2019-02-06,41.15,11.0,34.51,11.08,9469.0,台南七股光電,1799.5
767,2019-02-07,43.05,2.75,18.2,6.72,9892.0,台南七股光電,1799.5
768,2019-02-08,45.75,16.4,41.45,12.9,9825.0,台南七股光電,1799.5
769,2019-02-09,42.75,10.95,30.92,12.0,9333.0,台南七股光電,1799.5
770,2019-02-10,42.3,8.35,27.55,8.3,9780.0,台南七股光電,1799.5
771,2019-02-11,37.35,10.25,30.16,10.0,9641.0,台南七股光電,1799.5
772,2019-02-12,38.3,14.75,26.44,10.72,10322.0,台南七股光電,1799.5
773,2019-02-13,31.5,-43.3,-36.07,-43.28,10101.0,台南七股光電,1799.5
774,2019-02-14,30.25,1.9,16.36,6.7,10220.0,台南七股光電,1799.5
775,2019-02-15,34.75,11.6,24.07,11.14,9230.0,台南七股光電,1799.5
776,2019-02-16,32.5,15.45,34.04,14.02,7244.0,台南七股光電,1799.5
777,2019-02-17,35.0,14.8,34.53,13.62,8775.0,台南七股光電,1799.5
778,2019-02-18,37.15,16.3,39.73,16.08,9469.0,台南七股光電,1799.5
779,2019-02-19,44.05,8.05,26.2,12.92,6580.0,台南七股光電,1799.5
780,2019-02-20,19.9,8.25,14.5,1.94,8589.0,台南七股光電,1799.5
781,2019-02-21,11.95,0.0,0.74,0.44,6135.0,台南七股光電,1799.5
782,2019-02-22,21.35,6.0,17.29,2.96,8438.0,台南七股光電,1799.5
783,2019-02-23,27.2,3.3,9.62,1.89,8387.0,台南七股光電,1799.5
784,2019-02-24,29.15,4.85,17.97,3.56,2580.0,台南七股光電,1799.5
785,2019-02-25,30.85,9.55,26.56,6.64,7698.0,台南七股光電,1799.5
786,2019-02-26,30.25,10.85,27.62,5.92,9209.0,台南七股光電,1799.5
787,2019-02-27,30.15,7.0,19.72,5.25,9524.0,台南七股光電,1799.5
788,2019-02-28,29.8,9.9,22.6,5.12,9785.0,台南七股光電,1799.5
789,2019-03-01,30.5,9.95,20.12,4.2,9072.0,台南七股光電,1799.5
790,2019-03-02,23.85,0.0,4.01,1.66,8503.0,台南七股光電,1799.5
791,2019-03-03,18.75,6.75,13.92,2.6,5576.0,台南七股光電,1799.5
792,2019-03-04,12.75,1.5,7.58,1.28,11051.0,台南七股光電,1799.5
793,2019-03-05,14.7,2.2,11.07,2.82,4165.0,台南七股光電,1799.5
794,2019-03-06,19.1,10.95,23.5,4.22,8832.0,台南七股光電,1799.5
795,2019-03-07,26.9,10.95,25.92,4.96,611.0,台南七股光電,1799.5
796,2019-03-08,26.6,9.25,26.48,5.04,4271.0,台南七股光電,1799.5
797,2019-03-09,28.8,4.35,14.2,3.55,4104.0,台南七股光電,1799.5
798,2019-03-10,29.4,5.55,19.8,5.04,3883.0,台南七股光電,1799.5
799,2019-03-11,29.3,9.15,22.23,3.61,2606.0,台南七股光電,1799.5
800,2019-03-12,28.25,3.7,14.21,4.64,10271.0,台南七股光電,1799.5
801,2019-03-13,25.5,4.65,15.64,3.73,6394.0,台南七股光電,1799.5
802,2019-03-14,25.2,8.0,15.21,3.0,8623.0,台南七股光電,1799.5
803,2019-03-15,22.15,4.85,12.56,3.06,2708.0,台南七股光電,1799.5
804,2019-03-16,21.95,8.25,14.46,3.54,4063.0,台南七股光電,1799.5
805,2019-03-17,20.45,8.7,18.45,4.58,8477.0,台南七股光電,1799.5
806,2019-03-18,19.05,0.95,6.65,4.28,6980.0,台南七股光電,1799.5
807,2019-03-19,26.3,10.5,24.62,5.94,8793.0,台南七股光電,1799.5
808,2019-03-20,26.85,10.9,25.75,5.74,7925.0,台南七股光電,1799.5
809,2019-03-21,26.45,0.05,4.14,2.62,10368.0,台南七股光電,1799.5
810,2019-03-22,27.2,-48.1,8.64,1.82,9033.0,台南七股光電,1799.5
811,2019-03-23,30.3,5.1,19.39,5.04,2549.0,台南七股光電,1799.5
812,2019-03-24,28.95,10.2,23.2,5.01,897.0,台南七股光電,1799.5
813,2019-03-25,27.9,9.05,18.8,3.26,6693.0,台南七股光電,1799.5
814,2019-03-26,23.25,8.15,16.6,2.33,9949.0,台南七股光電,1799.5
815,2019-03-27,19.1,9.65,15.4,2.56,9176.0,台南七股光電,1799.5
816,2019-03-28,19.9,8.55,14.84,2.48,9145.0,台南七股光電,1799.5
817,2019-03-29,19.25,0.0,4.61,1.01,7701.0,台南七股光電,1799.5
818,2019-03-30,20.45,3.0,12.36,2.81,7996.0,台南七股光電,1799.5
819,2019-03-31,23.6,5.7,15.53,2.49,9243.0,台南七股光電,1799.5
820,2019-04-01,29.6,7.4,19.79,5.07,4180.0,台南七股光電,1799.5
821,2019-04-02,30.2,8.6,23.32,6.29,9390.0,台南七股光電,1799.5
822,2019-04-03,31.25,11.1,25.63,6.0,8838.0,台南七股光電,1799.5
823,2019-04-04,27.9,0.0,4.76,1.62,7890.0,台南七股光電,1799.5
824,2019-04-05,29.35,6.15,16.7,4.93,8682.0,台南七股光電,1799.5
825,2019-04-06,27.1,9.8,18.54,3.56,9008.0,台南七股光電,1799.5
826,2019-04-07,22.6,9.65,16.38,3.28,8877.0,台南七股光電,1799.5
827,2019-04-08,22.5,5.3,12.14,2.69,8357.0,台南七股光電,1799.5
828,2019-04-09,14.3,1.05,8.67,2.42,9792.0,台南七股光電,1799.5
829,2019-04-10,18.5,2.8,12.25,4.1,9536.0,台南七股光電,1799.5
830,2019-04-11,21.0,10.1,20.96,4.46,9443.0,台南七股光電,1799.5
831,2019-04-12,23.3,11.2,25.01,5.56,8505.0,台南七股光電,1799.5
832,2019-04-13,28.8,11.95,28.54,6.73,7646.0,台南七股光電,1799.5
833,2019-04-14,29.65,9.0,23.9,6.44,8901.0,台南七股光電,1799.5
834,2019-04-15,29.55,5.55,15.42,5.41,7715.0,台南七股光電,1799.5
835,2019-04-16,28.55,-45.85,21.57,6.68,3316.0,台南七股光電,1799.5
836,2019-04-17,29.8,0.5,11.92,3.99,9851.0,台南七股光電,1799.5
837,2019-04-18,28.5,1.25,8.02,2.26,9708.0,台南七股光電,1799.5
838,2019-04-19,21.0,8.3,15.84,3.11,5596.0,台南七股光電,1799.5
839,2019-04-20,21.65,9.9,15.84,2.88,7118.0,台南七股光電,1799.5
840,2019-04-21,16.9,4.25,12.21,3.26,4616.0,台南七股光電,1799.5
841,2019-04-22,27.8,-45.5,13.72,-46.44,8437.0,台南七股光電,1799.5
842,2019-04-23,33.65,16.2,35.84,10.34,7272.0,台南七股光電,1799.5
843,2019-04-24,39.9,10.6,31.25,10.94,8804.0,台南七股光電,1799.5
844,2019-04-25,40.25,0.65,15.71,6.8,9751.0,台南七股光電,1799.5
845,2019-04-26,42.1,5.9,22.94,10.2,7196.0,台南七股光電,1799.5
846,2019-04-27,45.75,17.5,41.82,12.96,6668.0,台南七股光電,1799.5
847,2019-04-28,42.35,-42.35,29.06,10.86,7776.0,台南七股光電,1799.5
848,2019-04-29,41.8,7.8,27.46,9.54,9629.0,台南七股光電,1799.5
849,2019-04-30,35.05,2.55,17.74,7.28,8403.0,台南七股光電,1799.5
850,2019-05-01,38.35,13.7,26.68,11.11,6652.0,台南七股光電,1799.5
851,2019-05-02,30.75,-41.8,-34.23,-42.98,3749.0,台南七股光電,1799.5
852,2019-05-03,30.5,4.7,18.42,9.7,2859.0,台南七股光電,1799.5
853,2019-05-04,32.5,14.85,28.22,12.33,5952.0,台南七股光電,1799.5
854,2019-05-05,33.55,15.55,33.62,14.36,4617.0,台南七股光電,1799.5
855,2019-05-06,36.9,15.9,34.68,13.9,2164.0,台南七股光電,1799.5
856,2019-05-07,38.65,5.8,26.03,12.27,3603.0,台南七股光電,1799.5
857,2019-05-08,42.7,1.9,16.97,12.79,3881.0,台南七股光電,1799.5
858,2019-05-09,20.35,6.8,13.5,2.22,5449.0,台南七股光電,1799.5
859,2019-05-10,15.25,3.05,10.2,1.89,8184.0,台南七股光電,1799.5
860,2019-05-11,22.9,8.1,18.48,3.26,10089.0,台南七股光電,1799.5
861,2019-05-12,21.15,0.0,1.34,0.64,9463.0,台南七股光電,1799.5
862,2019-05-13,29.6,8.55,23.5,4.01,10065.0,台南七股光電,1799.5
863,2019-05-14,30.75,10.4,26.3,5.88,10086.0,台南七股光電,1799.5
864,2019-05-15,29.8,9.3,26.1,6.1,6073.0,台南七股光電,1799.5
865,2019-05-16,30.15,6.3,18.61,5.91,6430.0,台南七股光電,1799.5
866,2019-05-17,30.15,10.45,23.66,5.26,7134.0,台南七股光電,1799.5
867,2019-05-18,30.1,5.25,16.4,3.78,7007.0,台南七股光電,1799.5
868,2019-05-19,23.1,0.45,7.78,2.8,6864.0,台南七股光電,1799.5
869,2019-05-20,18.7,0.0,3.88,0.9,3544.0,台南七股光電,1799.5
870,2019-05-21,12.2,9.8,16.81,2.5,2732.0,台南七股光電,1799.5
871,2019-05-22,15.0,3.2,12.64,2.61,7818.0,台南七股光電,1799.5
872,2019-05-23,20.05,10.75,21.7,3.63,6178.0,台南七股光電,1799.5
873,2019-05-24,28.15,10.4,26.06,5.46,7673.0,台南七股光電,1799.5
874,2019-05-25,26.9,5.0,16.15,3.78,7896.0,台南七股光電,1799.5
875,2019-05-26,29.4,9.4,23.48,4.62,7510.0,台南七股光電,1799.5
876,2019-05-27,28.25,1.45,11.02,2.47,3764.0,台南七股光電,1799.5
877,2019-05-28,29.9,8.95,23.09,4.72,5287.0,台南七股光電,1799.5
878,2019-05-29,29.0,6.3,19.2,6.22,8466.0,台南七股光電,1799.5
879,2019-05-30,23.45,0.5,8.07,2.85,9835.0,台南七股光電,1799.5
880,2019-05-31,24.8,2.0,10.66,3.18,8109.0,台南七股光電,1799.5
881,2019-06-01,18.95,0.1,6.44,2.36,6156.0,台南七股光電,1799.5
882,2019-06-02,22.5,9.5,15.7,3.72,7569.0,台南七股光電,1799.5
883,2019-06-03,21.05,9.8,19.49,4.82,8806.0,台南七股光電,1799.5
887,2019-06-07,26.9,0.1,7.46,3.37,5247.0,台南七股光電,1799.5
888,2019-06-08,29.45,5.8,27.34,5.9,6788.0,台南七股光電,1799.5
889,2019-06-09,29.35,1.75,12.01,4.75,3414.0,台南七股光電,1799.5
890,2019-06-10,29.7,8.55,19.67,4.18,4811.0,台南七股光電,1799.5
891,2019-06-11,28.05,7.9,18.92,3.72,7569.0,台南七股光電,1799.5
892,2019-06-12,23.45,10.2,19.62,3.16,8806.0,台南七股光電,1799.5
893,2019-06-13,19.75,9.45,15.2,2.44,6090.0,台南七股光電,1799.5
894,2019-06-14,17.75,8.25,15.29,2.68,4847.0,台南七股光電,1799.5
895,2019-06-15,-38.05,9.35,18.02,3.33,9393.0,台南七股光電,1799.5
896,2019-06-16,23.3,6.7,17.05,3.3,7727.0,台南七股光電,1799.5
897,2019-06-17,20.2,7.95,21.01,4.44,9368.0,台南七股光電,1799.5
898,2019-06-18,27.25,1.6,11.67,3.02,9034.0,台南七股光電,1799.5
899,2019-06-19,29.55,4.75,14.18,3.84,9916.0,台南七股光電,1799.5
900,2019-06-20,31.3,11.05,24.6,6.1,9595.0,台南七股光電,1799.5
901,2019-06-21,29.6,9.05,21.76,5.93,8997.0,台南七股光電,1799.5
902,2019-06-22,28.65,3.3,10.52,3.22,8033.0,台南七股光電,1799.5
903,2019-06-23,27.75,6.5,14.92,2.89,4943.0,台南七股光電,1799.5
904,2019-06-24,22.9,3.2,11.48,3.18,3315.0,台南七股光電,1799.5
905,2019-06-25,22.15,7.55,14.12,3.05,3618.0,台南七股光電,1799.5
906,2019-06-26,12.55,2.95,11.52,2.5,3434.0,台南七股光電,1799.5
907,2019-06-27,18.5,1.7,10.66,3.26,4290.0,台南七股光電,1799.5
908,2019-06-28,22.45,10.35,20.99,4.41,10015.0,台南七股光電,1799.5
909,2019-06-29,24.3,10.8,25.06,5.66,7350.0,台南七股光電,1799.5
910,2019-06-30,29.6,12.25,27.84,6.56,10045.0,台南七股光電,1799.5
911,2019-07-01,29.8,8.5,24.0,6.08,9527.0,台南七股光電,1799.5
912,2019-07-02,30.05,8.45,21.9,5.59,5944.0,台南七股光電,1799.5
913,2019-07-03,28.2,-48.2,17.26,-49.98,1131.0,台南七股光電,1799.5
914,2019-07-04,28.1,1.9,11.0,3.27,6402.0,台南七股光電,1799.5
915,2019-07-05,27.1,0.0,3.14,1.08,3479.0,台南七股光電,1799.5
916,2019-07-06,22.55,4.15,13.32,3.19,7049.0,台南七股光電,1799.5
917,2019-07-07,20.85,8.45,15.36,3.02,8326.0,台南七股光電,1799.5
918,2019-07-08,15.5,1.35,7.32,1.76,6665.0,台南七股光電,1799.5
919,2019-07-09,28.5,7.25,19.01,-45.3,3552.0,台南七股光電,1799.5
920,2019-07-10,33.6,16.3,34.86,9.5,4726.0,台南七股光電,1799.5
921,2019-07-11,39.95,16.15,37.68,10.58,4029.0,台南七股光電,1799.5
922,2019-07-12,40.3,0.3,11.48,5.35,4566.0,台南七股光電,1799.5
923,2019-07-13,42.65,14.15,37.35,11.42,8476.0,台南七股光電,1799.5
924,2019-07-14,45.9,15.5,38.74,12.3,9180.0,台南七股光電,1799.5
925,2019-07-15,41.95,-41.85,31.12,14.49,10121.0,台南七股光電,1799.5
926,2019-07-16,42.35,10.25,28.22,10.51,8745.0,台南七股光電,1799.5
927,2019-07-17,37.65,15.65,31.99,9.61,9652.0,台南七股光電,1799.5
928,2019-07-18,38.7,13.35,26.4,10.51,7239.0,台南七股光電,1799.5
929,2019-07-19,29.6,-46.85,-37.7,-43.76,2620.0,台南七股光電,1799.5
930,2019-07-20,31.1,5.85,18.17,8.24,1157.0,台南七股光電,1799.5
931,2019-07-21,36.05,15.9,29.84,13.6,5682.0,台南七股光電,1799.5
932,2019-07-22,33.05,14.9,31.38,12.49,6083.0,台南七股光電,1799.5
933,2019-07-23,37.1,10.5,27.38,9.28,9621.0,台南七股光電,1799.5
934,2019-07-24,39.05,4.7,23.79,15.05,5730.0,台南七股光電,1799.5
935,2019-07-25,40.4,1.35,13.34,11.74,7217.0,台南七股光電,1799.5
936,2019-07-26,19.8,3.95,12.36,2.36,9162.0,台南七股光電,1799.5
937,2019-07-27,17.0,10.05,18.81,2.56,7642.0,台南七股光電,1799.5
938,2019-07-28,25.0,10.3,20.34,3.24,6097.0,台南七股光電,1799.5
939,2019-07-29,19.7,0.0,5.75,2.21,9248.0,台南七股光電,1799.5
940,2019-07-30,29.05,4.8,18.68,6.6,9917.0,台南七股光電,1799.5
941,2019-07-31,29.55,7.35,22.29,6.5,8276.0,台南七股光電,1799.5
942,2019-08-01,29.7,7.4,21.58,4.78,3338.0,台南七股光電,1799.5
943,2019-08-02,30.15,8.55,24.44,6.14,7657.0,台南七股光電,1799.5
944,2019-08-03,30.15,7.55,20.1,4.8,9505.0,台南七股光電,1799.5
945,2019-08-04,26.65,0.0,4.46,1.5,9099.0,台南七股光電,1799.5
946,2019-08-05,23.95,0.5,8.28,2.14,9357.0,台南七股光電,1799.5
947,2019-08-06,20.15,4.9,12.24,2.56,8829.0,台南七股光電,1799.5
948,2019-08-07,13.05,10.05,16.7,2.68,8009.0,台南七股光電,1799.5
949,2019-08-08,16.0,9.75,19.17,3.27,5517.0,台南七股光電,1799.5
950,2019-08-09,21.45,10.5,21.14,3.52,5190.0,台南七股光電,1799.5
951,2019-08-10,28.15,9.9,23.81,4.57,5540.0,台南七股光電,1799.5
952,2019-08-11,27.7,8.4,22.89,5.14,7992.0,台南七股光電,1799.5
953,2019-08-12,30.15,8.0,22.68,4.47,4805.0,台南七股光電,1799.5
954,2019-08-13,29.2,7.05,23.72,5.42,1751.0,台南七股光電,1799.5
955,2019-08-14,27.1,0.3,8.96,2.88,8593.0,台南七股光電,1799.5
956,2019-08-15,29.25,7.6,19.87,5.72,5977.0,台南七股光電,1799.5
957,2019-08-16,25.0,8.6,19.44,4.38,1793.0,台南七股光電,1799.5
958,2019-08-17,24.25,9.65,17.52,3.98,3369.0,台南七股光電,1799.5
959,2019-08-18,19.8,8.1,14.11,3.24,1642.0,台南七股光電,1799.5
960,2019-08-19,20.75,7.0,14.48,3.68,1561.0,台南七股光電,1799.5
961,2019-08-20,23.15,10.05,20.0,4.78,4451.0,台南七股光電,1799.5
962,2019-08-21,22.8,4.7,15.26,4.42,3409.0,台南七股光電,1799.5
963,2019-08-22,25.05,3.35,17.84,4.52,9586.0,台南七股光電,1799.5
964,2019-08-23,28.75,11.2,26.04,6.38,10016.0,台南七股光電,1799.5
965,2019-08-24,28.2,2.2,14.4,5.82,1666.0,台南七股光電,1799.5
966,2019-08-25,29.8,-45.65,21.46,5.92,3922.0,台南七股光電,1799.5
967,2019-08-26,26.2,0.85,2.38,1.16,10266.0,台南七股光電,1799.5
968,2019-08-27,29.7,6.3,17.88,4.38,8559.0,台南七股光電,1799.5
969,2019-08-28,27.8,5.25,13.72,2.12,10266.0,台南七股光電,1799.5
970,2019-08-29,23.6,9.4,17.22,2.7,5982.0,台南七股光電,1799.5
971,2019-08-30,19.7,9.95,15.84,2.57,4624.0,台南七股光電,1799.5
972,2019-08-31,17.6,8.75,14.77,2.58,9332.0,台南七股光電,1799.5
973,2019-09-01,-37.8,2.65,9.76,2.8,9764.0,台南七股光電,1799.5
974,2019-09-02,24.05,8.85,17.63,3.05,10724.0,台南七股光電,1799.5
975,2019-09-03,19.6,11.5,26.42,4.56,9128.0,台南七股光電,1799.5
976,2019-09-04,28.3,10.45,24.48,4.85,4581.0,台南七股光電,1799.5
977,2019-09-05,30.35,5.85,17.64,4.96,6601.0,台南七股光電,1799.5
978,2019-09-06,31.35,10.95,25.95,5.8,7227.0,台南七股光電,1799.5
979,2019-09-07,29.5,8.75,20.83,3.57,8831.0,台南七股光電,1799.5
980,2019-09-08,29.75,7.35,18.12,3.7,9403.0,台南七股光電,1799.5
981,2019-09-09,27.6,6.4,15.75,3.38,9171.0,台南七股光電,1799.5
982,2019-09-10,23.5,0.1,9.12,2.5,4810.0,台南七股光電,1799.5
983,2019-09-11,21.9,7.95,14.46,2.94,10363.0,台南七股光電,1799.5
984,2019-09-12,14.35,10.1,16.71,3.28,9432.0,台南七股光電,1799.5
985,2019-09-13,20.2,6.85,18.08,4.4,8645.0,台南七股光電,1799.5
986,2019-09-14,21.5,10.15,20.91,4.6,8890.0,台南七股光電,1799.5
987,2019-09-15,25.95,10.9,24.7,5.67,6401.0,台南七股光電,1799.5
988,2019-09-16,29.75,10.75,26.28,6.4,7150.0,台南七股光電,1799.5
989,2019-09-17,29.8,10.8,26.87,6.7,7203.0,台南七股光電,1799.5
990,2019-09-18,29.3,6.25,18.55,5.79,7883.0,台南七股光電,1799.5
991,2019-09-19,27.75,-47.65,18.8,-49.98,7978.0,台南七股光電,1799.5
992,2019-09-20,27.35,1.05,6.35,1.79,9534.0,台南七股光電,1799.5
993,2019-09-21,26.4,0.1,5.28,3.16,10410.0,台南七股光電,1799.5
994,2019-09-22,20.85,3.85,13.33,3.44,10319.0,台南七股光電,1799.5
995,2019-09-23,20.0,9.7,15.64,3.06,9439.0,台南七股光電,1799.5
996,2019-09-24,16.2,8.95,16.04,3.2,9460.0,台南七股光電,1799.5
997,2019-09-25,29.65,-46.25,14.57,-45.74,9848.0,台南七股光電,1799.5
998,2019-09-26,36.25,15.15,34.92,10.55,9771.0,台南七股光電,1799.5
999,2019-09-27,39.45,12.15,33.64,11.08,8551.0,台南七股光電,1799.5
1000,2019-09-28,41.3,1.25,17.19,8.22,8076.0,台南七股光電,1799.5
1001,2019-09-29,44.0,14.65,36.68,11.82,9194.0,台南七股光電,1799.5
1002,2019-09-30,45.25,9.4,31.61,10.64,4602.0,台南七股光電,1799.5
1003,2019-10-01,43.1,-41.1,33.9,13.6,8694.0,台南七股光電,1799.5
1004,2019-10-02,42.65,12.9,31.34,9.47,9403.0,台南七股光電,1799.5
1005,2019-10-03,39.35,14.95,30.54,13.1,9237.0,台南七股光電,1799.5
1006,2019-10-04,37.4,7.9,18.45,9.88,9460.0,台南七股光電,1799.5
1007,2019-10-05,28.7,7.2,16.01,8.52,7866.0,台南七股光電,1799.5
1008,2019-10-06,35.05,14.45,24.36,9.36,5727.0,台南七股光電,1799.5
1009,2019-10-07,37.45,15.5,30.18,14.82,9869.0,台南七股光電,1799.5
1010,2019-10-08,28.8,6.15,24.92,11.97,8833.0,台南七股光電,1799.5
1011,2019-10-09,36.55,12.85,31.32,12.35,8136.0,台南七股光電,1799.5
1012,2019-10-10,38.5,2.95,24.54,12.57,8853.0,台南七股光電,1799.5
1013,2019-10-11,41.35,3.2,21.2,12.16,8898.0,台南七股光電,1799.5
1014,2019-10-12,16.9,0.9,8.04,1.88,8749.0,台南七股光電,1799.5
1015,2019-10-13,17.65,10.0,19.22,2.37,7440.0,台南七股光電,1799.5
1016,2019-10-14,19.3,4.35,13.45,2.89,7995.0,台南七股光電,1799.5
1017,2019-10-15,24.25,6.75,18.98,3.18,8664.0,台南七股光電,1799.5
1018,2019-10-16,29.2,9.5,24.76,6.13,9385.0,台南七股光電,1799.5
1019,2019-10-17,27.55,0.0,5.54,2.28,9129.0,台南七股光電,1799.5
1020,2019-10-18,29.1,4.55,15.61,4.64,9185.0,台南七股光電,1799.5
1021,2019-10-19,30.2,10.05,26.28,5.8,8010.0,台南七股光電,1799.5
1022,2019-10-20,29.65,10.2,22.94,4.8,9093.0,台南七股光電,1799.5
1023,2019-10-21,25.45,0.0,3.18,1.27,8949.0,台南七股光電,1799.5
1024,2019-10-22,24.9,6.65,13.9,2.9,7916.0,台南七股光電,1799.5
1025,2019-10-23,20.5,9.65,15.7,2.72,7602.0,台南七股光電,1799.5
1026,2019-10-24,15.4,9.9,16.99,2.88,7910.0,台南七股光電,1799.5
1027,2019-10-25,18.9,9.35,19.73,3.69,8447.0,台南七股光電,1799.5
1028,2019-10-26,22.75,2.9,13.3,3.19,8356.0,台南七股光電,1799.5
1029,2019-10-27,28.25,8.5,23.02,4.72,8699.0,台南七股光電,1799.5
1030,2019-10-28,28.3,9.75,23.83,5.22,8333.0,台南七股光電,1799.5
1031,2019-10-29,27.7,2.4,11.6,3.44,8480.0,台南七股光電,1799.5
1032,2019-10-30,28.6,8.65,24.24,4.7,7788.0,台南七股光電,1799.5
