,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
0,2017-01-01,14.0,8.05,12.84,2.15,128.0,嘉義民雄光電,60.0
1,2017-01-02,13.5,0.35,8.56,2.24,128.0,嘉義民雄光電,60.0
2,2017-01-03,12.7,6.5,13.68,3.21,113.0,嘉義民雄光電,60.0
3,2017-01-04,12.2,3.9,14.34,2.94,95.0,嘉義民雄光電,60.0
4,2017-01-05,18.65,7.55,18.79,3.7,105.0,嘉義民雄光電,60.0
5,2017-01-06,21.2,0.3,5.37,3.22,99.0,嘉義民雄光電,60.0
6,2017-01-07,22.55,8.25,19.72,6.75,105.0,嘉義民雄光電,60.0
7,2017-01-08,21.2,0.35,6.33,3.3,148.0,嘉義民雄光電,60.0
8,2017-01-09,21.6,0.0,5.04,2.13,145.0,嘉義民雄光電,60.0
9,2017-01-10,22.85,7.3,16.21,5.19,136.0,嘉義民雄光電,60.0
10,2017-01-11,18.25,10.25,17.69,3.48,140.0,嘉義民雄光電,60.0
11,2017-01-12,17.15,3.75,10.5,2.64,85.0,嘉義民雄光電,60.0
12,2017-01-13,12.3,6.15,11.02,2.58,64.0,嘉義民雄光電,60.0
13,2017-01-14,10.15,2.75,9.32,1.96,34.0,嘉義民雄光電,60.0
14,2017-01-15,16.05,9.35,19.58,4.46,73.0,嘉義民雄光電,60.0
15,2017-01-16,16.85,5.25,14.58,4.53,96.0,嘉義民雄光電,60.0
16,2017-01-17,21.4,6.85,19.25,5.21,132.0,嘉義民雄光電,60.0
17,2017-01-18,21.55,3.5,13.88,5.64,137.0,嘉義民雄光電,60.0
18,2017-01-19,20.75,3.5,12.5,5.64,153.0,嘉義民雄光電,60.0
19,2017-01-20,22.5,7.5,17.86,5.54,121.0,嘉義民雄光電,60.0
20,2017-01-21,20.65,3.0,14.0,4.98,82.0,嘉義民雄光電,60.0
21,2017-01-22,19.2,6.35,15.5,4.44,147.0,嘉義民雄光電,60.0
22,2017-01-23,16.65,0.6,7.78,2.09,123.0,嘉義民雄光電,60.0
23,2017-01-24,15.5,8.5,15.86,2.64,94.0,嘉義民雄光電,60.0
24,2017-01-25,13.0,0.4,8.54,2.72,83.0,嘉義民雄光電,60.0
25,2017-01-26,12.4,1.55,10.38,2.76,153.0,嘉義民雄光電,60.0
26,2017-01-27,15.5,8.7,20.02,4.92,162.0,嘉義民雄光電,60.0
27,2017-01-28,13.4,0.0,3.66,1.2,157.0,嘉義民雄光電,60.0
28,2017-01-29,17.8,0.1,4.84,2.62,125.0,嘉義民雄光電,60.0
29,2017-01-30,20.7,2.7,13.66,4.93,146.0,嘉義民雄光電,60.0
30,2017-01-31,23.15,8.1,21.28,6.3,106.0,嘉義民雄光電,60.0
31,2017-02-01,21.0,2.6,10.47,3.84,82.0,嘉義民雄光電,60.0
32,2017-02-02,21.2,5.95,15.4,5.76,72.0,嘉義民雄光電,60.0
33,2017-02-03,20.05,4.65,15.36,5.34,144.0,嘉義民雄光電,60.0
34,2017-02-04,18.95,5.2,11.27,3.01,57.0,嘉義民雄光電,60.0
35,2017-02-05,14.7,7.7,16.22,2.7,67.0,嘉義民雄光電,60.0
36,2017-02-06,12.5,7.35,15.4,2.9,137.0,嘉義民雄光電,60.0
37,2017-02-07,8.1,8.85,17.96,3.36,88.0,嘉義民雄光電,60.0
38,2017-02-08,15.6,7.1,16.72,3.4,127.0,嘉義民雄光電,60.0
39,2017-02-09,28.2,5.6,19.64,7.24,70.0,嘉義民雄光電,60.0
40,2017-02-10,32.45,9.5,31.9,9.95,86.0,嘉義民雄光電,60.0
41,2017-02-11,36.5,14.45,34.32,11.43,16.0,嘉義民雄光電,60.0
42,2017-02-12,37.05,8.4,25.66,11.33,102.0,嘉義民雄光電,60.0
43,2017-02-13,35.85,8.3,24.08,11.64,162.0,嘉義民雄光電,60.0
44,2017-02-14,35.75,13.7,30.38,10.29,160.0,嘉義民雄光電,60.0
45,2017-02-15,33.05,6.15,21.89,8.49,155.0,嘉義民雄光電,60.0
46,2017-02-16,30.95,11.45,26.16,6.62,149.0,嘉義民雄光電,60.0
47,2017-02-17,25.3,11.15,20.73,5.4,150.0,嘉義民雄光電,60.0
48,2017-02-18,15.75,10.9,23.68,5.58,149.0,嘉義民雄光電,60.0
49,2017-02-19,20.4,15.1,27.69,7.3,127.0,嘉義民雄光電,60.0
50,2017-02-20,27.8,11.05,29.12,7.46,125.0,嘉義民雄光電,60.0
51,2017-02-21,32.75,2.8,18.66,5.88,125.0,嘉義民雄光電,60.0
52,2017-02-22,31.05,6.9,30.22,10.0,54.0,嘉義民雄光電,60.0
53,2017-02-23,34.1,3.2,20.43,9.19,105.0,嘉義民雄光電,60.0
54,2017-02-24,36.85,15.65,41.6,13.62,16.0,嘉義民雄光電,60.0
55,2017-02-25,32.45,0.0,3.83,1.62,54.0,嘉義民雄光電,60.0
56,2017-02-26,36.15,7.7,23.44,10.98,134.0,嘉義民雄光電,60.0
57,2017-02-27,35.65,11.75,27.17,8.64,107.0,嘉義民雄光電,60.0
58,2017-02-28,29.95,9.4,21.08,6.92,159.0,嘉義民雄光電,60.0
59,2017-03-01,20.8,8.05,20.36,5.06,173.0,嘉義民雄光電,60.0
60,2017-03-02,20.05,8.65,21.7,6.05,151.0,嘉義民雄光電,60.0
61,2017-03-03,19.65,0.25,8.05,2.9,118.0,嘉義民雄光電,60.0
62,2017-03-04,28.2,13.05,32.45,10.29,155.0,嘉義民雄光電,60.0
63,2017-03-05,24.2,0.75,13.71,6.1,155.0,嘉義民雄光電,60.0
64,2017-03-06,28.0,0.7,16.57,7.34,139.0,嘉義民雄光電,60.0
65,2017-03-07,35.7,13.15,35.03,10.64,30.0,嘉義民雄光電,60.0
66,2017-03-08,35.05,4.95,21.76,9.1,6.0,嘉義民雄光電,60.0
67,2017-03-09,35.1,2.4,17.3,8.42,90.0,嘉義民雄光電,60.0
68,2017-03-10,36.45,7.4,25.54,8.59,131.0,嘉義民雄光電,60.0
69,2017-03-11,35.6,12.25,27.67,8.07,93.0,嘉義民雄光電,60.0
70,2017-03-12,31.1,5.65,19.1,6.8,120.0,嘉義民雄光電,60.0
71,2017-03-13,27.15,9.5,20.21,5.36,177.0,嘉義民雄光電,60.0
72,2017-03-14,22.3,0.0,8.09,3.33,103.0,嘉義民雄光電,60.0
73,2017-03-15,22.9,9.2,22.82,6.74,115.0,嘉義民雄光電,60.0
74,2017-03-16,22.0,15.65,32.88,7.8,86.0,嘉義民雄光電,60.0
75,2017-03-17,24.1,0.0,4.7,2.01,125.0,嘉義民雄光電,60.0
76,2017-03-18,30.4,12.2,36.12,9.4,116.0,嘉義民雄光電,60.0
77,2017-03-19,34.9,8.85,27.84,8.68,101.0,嘉義民雄光電,60.0
78,2017-03-20,15.7,8.1,13.62,2.42,110.0,嘉義民雄光電,60.0
79,2017-03-21,12.85,2.5,10.0,2.47,163.0,嘉義民雄光電,60.0
80,2017-03-22,11.85,6.45,15.05,2.94,151.0,嘉義民雄光電,60.0
81,2017-03-23,11.65,10.95,21.63,3.65,144.0,嘉義民雄光電,60.0
82,2017-03-24,19.35,2.6,14.06,2.74,175.0,嘉義民雄光電,60.0
83,2017-03-25,21.25,0.25,3.64,2.86,162.0,嘉義民雄光電,60.0
84,2017-03-26,21.5,5.5,13.16,5.48,12.0,嘉義民雄光電,60.0
85,2017-03-27,22.1,3.1,13.52,6.11,184.0,嘉義民雄光電,60.0
86,2017-03-28,21.75,1.45,9.05,4.42,175.0,嘉義民雄光電,60.0
87,2017-03-29,22.95,6.6,14.18,4.88,163.0,嘉義民雄光電,60.0
88,2017-03-30,18.95,5.25,12.74,3.82,129.0,嘉義民雄光電,60.0
89,2017-03-31,16.65,1.55,8.24,2.13,162.0,嘉義民雄光電,60.0
90,2017-04-01,12.85,7.8,13.25,2.62,142.0,嘉義民雄光電,60.0
91,2017-04-02,9.75,2.75,8.89,2.43,212.0,嘉義民雄光電,60.0
92,2017-04-03,17.4,5.45,14.8,4.47,204.0,嘉義民雄光電,60.0
93,2017-04-04,17.3,5.8,14.74,4.19,173.0,嘉義民雄光電,60.0
94,2017-04-05,22.1,10.7,24.26,6.08,185.0,嘉義民雄光電,60.0
95,2017-04-06,20.7,5.75,15.44,5.12,144.0,嘉義民雄光電,60.0
96,2017-04-07,19.45,0.0,1.12,0.16,85.0,嘉義民雄光電,60.0
97,2017-04-08,22.2,4.75,15.52,5.01,188.0,嘉義民雄光電,60.0
98,2017-04-09,20.6,6.5,16.01,5.52,157.0,嘉義民雄光電,60.0
99,2017-04-10,17.95,7.3,17.33,4.02,192.0,嘉義民雄光電,60.0
100,2017-04-11,17.7,1.1,9.61,2.48,69.0,嘉義民雄光電,60.0
101,2017-04-12,16.1,9.0,15.94,2.9,29.0,嘉義民雄光電,60.0
102,2017-04-13,13.55,0.0,5.9,1.76,32.0,嘉義民雄光電,60.0
103,2017-04-14,13.15,6.6,15.75,3.92,150.0,嘉義民雄光電,60.0
104,2017-04-15,16.95,7.4,19.4,4.4,151.0,嘉義民雄光電,60.0
105,2017-04-16,15.15,3.85,12.58,4.0,169.0,嘉義民雄光電,60.0
106,2017-04-17,16.5,0.0,3.7,1.54,176.0,嘉義民雄光電,60.0
107,2017-04-18,21.15,4.65,13.54,6.52,167.0,嘉義民雄光電,60.0
108,2017-04-19,22.05,1.75,12.74,5.11,186.0,嘉義民雄光電,60.0
109,2017-04-20,21.25,2.0,11.66,4.92,116.0,嘉義民雄光電,60.0
110,2017-04-21,21.65,7.0,17.34,5.66,131.0,嘉義民雄光電,60.0
111,2017-04-22,20.45,7.55,16.61,4.33,75.0,嘉義民雄光電,60.0
112,2017-04-23,19.1,7.95,17.2,3.26,73.0,嘉義民雄光電,60.0
113,2017-04-24,12.15,6.45,14.44,2.64,99.0,嘉義民雄光電,60.0
114,2017-04-25,13.15,6.95,15.17,2.87,122.0,嘉義民雄光電,60.0
115,2017-04-26,9.8,7.9,16.99,3.32,145.0,嘉義民雄光電,60.0
116,2017-04-27,14.5,6.45,17.68,3.83,15.0,嘉義民雄光電,60.0
117,2017-04-28,27.35,5.05,17.88,6.65,119.0,嘉義民雄光電,60.0
118,2017-04-29,34.45,7.85,28.6,8.86,198.0,嘉義民雄光電,60.0
119,2017-04-30,36.4,12.35,34.4,11.54,202.0,嘉義民雄光電,60.0
120,2017-05-01,36.4,9.1,25.47,11.74,161.0,嘉義民雄光電,60.0
121,2017-05-02,36.0,9.55,27.06,10.24,128.0,嘉義民雄光電,60.0
122,2017-05-03,37.0,11.3,27.54,9.66,179.0,嘉義民雄光電,60.0
123,2017-05-04,33.25,12.2,27.6,8.78,161.0,嘉義民雄光電,60.0
124,2017-05-05,31.5,13.75,27.0,6.51,142.0,嘉義民雄光電,60.0
125,2017-05-06,25.4,9.25,19.77,5.72,174.0,嘉義民雄光電,60.0
126,2017-05-07,17.7,14.35,25.52,6.02,174.0,嘉義民雄光電,60.0
127,2017-05-08,21.0,15.0,28.48,6.65,148.0,嘉義民雄光電,60.0
128,2017-05-09,24.4,6.35,22.28,5.45,194.0,嘉義民雄光電,60.0
129,2017-05-10,32.75,14.75,33.94,8.46,145.0,嘉義民雄光電,60.0
130,2017-05-11,31.1,11.05,31.52,8.94,160.0,嘉義民雄光電,60.0
131,2017-05-12,36.95,10.75,33.2,10.76,168.0,嘉義民雄光電,60.0
132,2017-05-13,37.0,12.5,33.8,11.48,102.0,嘉義民雄光電,60.0
133,2017-05-14,33.0,0.0,3.74,1.9,145.0,嘉義民雄光電,60.0
134,2017-05-15,35.75,8.5,26.04,10.14,135.0,嘉義民雄光電,60.0
135,2017-05-16,35.65,10.9,23.94,7.8,41.0,嘉義民雄光電,60.0
136,2017-05-17,29.8,9.75,23.06,7.45,93.0,嘉義民雄光電,60.0
137,2017-05-18,19.1,12.15,24.7,5.88,128.0,嘉義民雄光電,60.0
138,2017-05-19,20.2,13.0,24.24,6.12,70.0,嘉義民雄光電,60.0
139,2017-05-20,21.4,3.4,16.35,4.57,68.0,嘉義民雄光電,60.0
140,2017-05-21,27.6,15.15,33.43,9.19,178.0,嘉義民雄光電,60.0
141,2017-05-22,19.2,0.15,7.18,2.1,170.0,嘉義民雄光電,60.0
142,2017-05-23,22.0,0.0,6.44,2.62,162.0,嘉義民雄光電,60.0
143,2017-05-24,35.65,10.75,32.2,11.66,130.0,嘉義民雄光電,60.0
144,2017-05-25,34.45,2.45,19.76,8.68,76.0,嘉義民雄光電,60.0
145,2017-05-26,33.45,0.95,12.68,4.94,144.0,嘉義民雄光電,60.0
146,2017-05-27,35.05,2.65,16.8,4.12,82.0,嘉義民雄光電,60.0
147,2017-05-28,35.45,11.9,26.75,8.32,95.0,嘉義民雄光電,60.0
148,2017-05-29,30.75,8.0,22.06,6.62,141.0,嘉義民雄光電,60.0
149,2017-05-30,27.1,7.3,19.96,6.04,55.0,嘉義民雄光電,60.0
150,2017-05-31,22.1,0.0,5.65,2.14,145.0,嘉義民雄光電,60.0
151,2017-06-01,22.55,12.3,27.41,7.34,65.0,嘉義民雄光電,60.0
152,2017-06-02,19.65,13.7,28.02,6.96,49.0,嘉義民雄光電,60.0
153,2017-06-03,27.7,11.6,31.88,8.72,68.0,嘉義民雄光電,60.0
154,2017-06-04,31.9,12.45,33.36,9.35,66.0,嘉義民雄光電,60.0
155,2017-06-05,37.1,12.0,32.11,9.1,91.0,嘉義民雄光電,60.0
156,2017-06-06,16.2,6.65,12.96,2.32,170.0,嘉義民雄光電,60.0
157,2017-06-07,12.85,6.05,11.98,2.76,155.0,嘉義民雄光電,60.0
158,2017-06-08,11.2,3.45,10.17,2.02,136.0,嘉義民雄光電,60.0
159,2017-06-09,14.2,8.85,19.2,3.66,144.0,嘉義民雄光電,60.0
160,2017-06-10,19.6,5.05,14.07,4.02,154.0,嘉義民雄光電,60.0
161,2017-06-11,21.4,0.5,4.58,3.81,201.0,嘉義民雄光電,60.0
162,2017-06-12,22.1,7.35,18.92,6.18,191.0,嘉義民雄光電,60.0
163,2017-06-13,22.45,5.25,13.41,5.56,127.0,嘉義民雄光電,60.0
164,2017-06-14,22.65,5.4,15.25,5.98,21.0,嘉義民雄光電,60.0
165,2017-06-15,22.6,6.05,13.32,3.62,23.0,嘉義民雄光電,60.0
166,2017-06-16,18.8,0.25,7.7,2.61,102.0,嘉義民雄光電,60.0
167,2017-06-17,16.6,1.3,6.5,2.36,37.0,嘉義民雄光電,60.0
168,2017-06-18,14.55,6.95,12.7,2.51,12.0,嘉義民雄光電,60.0
169,2017-06-19,7.7,0.05,3.3,1.32,89.0,嘉義民雄光電,60.0
170,2017-06-20,18.75,8.25,17.33,4.39,129.0,嘉義民雄光電,60.0
171,2017-06-21,17.3,3.9,13.8,4.64,201.0,嘉義民雄光電,60.0
172,2017-06-22,20.75,6.6,17.54,5.04,182.0,嘉義民雄光電,60.0
173,2017-06-23,21.55,7.45,17.35,5.45,185.0,嘉義民雄光電,60.0
174,2017-06-24,20.9,1.9,9.37,4.54,202.0,嘉義民雄光電,60.0
175,2017-06-25,22.2,4.7,15.48,5.3,164.0,嘉義民雄光電,60.0
176,2017-06-26,20.95,8.25,18.26,5.55,202.0,嘉義民雄光電,60.0
177,2017-06-27,17.9,8.6,18.64,4.23,160.0,嘉義民雄光電,60.0
178,2017-06-28,19.05,7.15,17.07,3.86,154.0,嘉義民雄光電,60.0
179,2017-06-29,16.9,9.35,16.42,3.0,132.0,嘉義民雄光電,60.0
180,2017-06-30,14.8,3.25,9.14,2.65,138.0,嘉義民雄光電,60.0
181,2017-07-01,16.05,6.75,16.32,4.65,188.0,嘉義民雄光電,60.0
182,2017-07-02,15.0,3.45,9.2,2.52,143.0,嘉義民雄光電,60.0
183,2017-07-03,15.85,5.05,15.23,4.42,143.0,嘉義民雄光電,60.0
184,2017-07-04,16.85,0.65,7.34,2.32,132.0,嘉義民雄光電,60.0
185,2017-07-05,20.9,3.35,14.8,4.35,174.0,嘉義民雄光電,60.0
186,2017-07-06,20.0,0.05,6.62,3.31,74.0,嘉義民雄光電,60.0
187,2017-07-07,21.4,5.3,14.92,5.4,120.0,嘉義民雄光電,60.0
188,2017-07-08,21.1,5.6,12.88,4.74,147.0,嘉義民雄光電,60.0
189,2017-07-09,20.2,5.15,14.49,4.27,122.0,嘉義民雄光電,60.0
190,2017-07-10,18.75,6.55,15.14,2.88,183.0,嘉義民雄光電,60.0
191,2017-07-11,12.35,7.5,15.26,2.46,177.0,嘉義民雄光電,60.0
192,2017-07-12,13.3,7.85,15.19,2.7,147.0,嘉義民雄光電,60.0
193,2017-07-13,11.05,9.5,18.42,3.25,184.0,嘉義民雄光電,60.0
194,2017-07-14,14.65,7.85,18.86,3.98,137.0,嘉義民雄光電,60.0
195,2017-07-15,27.7,4.75,20.01,5.11,156.0,嘉義民雄光電,60.0
196,2017-07-16,35.4,13.55,37.52,9.9,6.0,嘉義民雄光電,60.0
197,2017-07-17,36.45,14.65,37.64,11.5,243.0,嘉義民雄光電,60.0
198,2017-07-18,36.55,7.6,28.02,11.7,153.0,嘉義民雄光電,60.0
199,2017-07-19,33.85,2.0,15.35,9.36,131.0,嘉義民雄光電,60.0
200,2017-07-20,35.55,6.9,23.38,10.38,187.0,嘉義民雄光電,60.0
201,2017-07-21,34.1,12.3,28.9,9.01,166.0,嘉義民雄光電,60.0
202,2017-07-22,29.5,11.2,23.72,6.76,109.0,嘉義民雄光電,60.0
203,2017-07-23,24.6,2.55,15.29,5.12,116.0,嘉義民雄光電,60.0
204,2017-07-24,20.35,14.55,26.2,6.26,120.0,嘉義民雄光電,60.0
205,2017-07-25,19.1,11.65,21.08,6.03,130.0,嘉義民雄光電,60.0
206,2017-07-26,21.65,1.35,12.84,5.6,106.0,嘉義民雄光電,60.0
207,2017-07-27,32.5,11.55,28.63,6.48,186.0,嘉義民雄光電,60.0
208,2017-07-28,31.2,0.05,15.55,4.98,114.0,嘉義民雄光電,60.0
209,2017-07-29,38.4,13.8,39.75,12.1,51.0,嘉義民雄光電,60.0
210,2017-07-30,37.85,12.5,37.02,12.89,105.0,嘉義民雄光電,60.0
211,2017-07-31,34.45,2.9,19.38,10.44,7.0,嘉義民雄光電,60.0
212,2017-08-01,34.7,7.35,24.05,10.58,63.0,嘉義民雄光電,60.0
213,2017-08-02,35.65,11.9,28.1,8.49,111.0,嘉義民雄光電,60.0
214,2017-08-03,30.55,5.75,18.88,6.18,165.0,嘉義民雄光電,60.0
215,2017-08-04,18.2,13.45,25.49,5.78,122.0,嘉義民雄光電,60.0
216,2017-08-05,20.95,12.55,23.94,5.8,182.0,嘉義民雄光電,60.0
217,2017-08-06,20.65,1.15,9.38,3.97,182.0,嘉義民雄光電,60.0
218,2017-08-07,26.45,13.45,30.82,8.32,182.0,嘉義民雄光電,60.0
219,2017-08-08,18.55,1.0,8.64,3.2,154.0,嘉義民雄光電,60.0
220,2017-08-09,25.95,0.2,15.8,6.33,182.0,嘉義民雄光電,60.0
221,2017-08-10,36.35,13.0,35.56,12.5,95.0,嘉義民雄光電,60.0
222,2017-08-11,36.25,5.4,27.47,10.9,76.0,嘉義民雄光電,60.0
223,2017-08-12,34.25,2.65,19.17,8.7,177.0,嘉義民雄光電,60.0
224,2017-08-13,34.4,1.15,11.43,4.08,188.0,嘉義民雄光電,60.0
225,2017-08-14,35.2,11.15,26.98,8.42,190.0,嘉義民雄光電,60.0
226,2017-08-15,31.25,8.8,22.12,6.5,177.0,嘉義民雄光電,60.0
227,2017-08-16,28.4,12.35,23.04,5.95,162.0,嘉義民雄光電,60.0
228,2017-08-17,21.75,3.3,13.38,3.54,149.0,嘉義民雄光電,60.0
229,2017-08-18,21.25,5.35,20.34,6.26,159.0,嘉義民雄光電,60.0
230,2017-08-19,19.0,11.35,26.62,7.44,170.0,嘉義民雄光電,60.0
231,2017-08-20,28.95,10.8,27.72,6.96,186.0,嘉義民雄光電,60.0
232,2017-08-21,33.2,9.85,34.32,9.94,126.0,嘉義民雄光電,60.0
233,2017-08-22,34.95,1.6,13.78,5.24,106.0,嘉義民雄光電,60.0
234,2017-08-23,16.95,6.75,12.89,2.26,134.0,嘉義民雄光電,60.0
235,2017-08-24,13.0,0.45,5.99,2.02,117.0,嘉義民雄光電,60.0
236,2017-08-25,13.6,6.15,12.24,2.88,156.0,嘉義民雄光電,60.0
237,2017-08-26,16.3,9.85,21.52,3.48,116.0,嘉義民雄光電,60.0
238,2017-08-27,20.45,7.65,19.08,3.79,122.0,嘉義民雄光電,60.0
239,2017-08-28,20.55,0.7,4.89,3.28,166.0,嘉義民雄光電,60.0
240,2017-08-29,21.0,5.5,12.61,7.02,137.0,嘉義民雄光電,60.0
241,2017-08-30,22.2,4.45,12.5,5.37,144.0,嘉義民雄光電,60.0
242,2017-08-31,22.75,6.05,16.4,5.98,50.0,嘉義民雄光電,60.0
243,2017-09-01,21.7,0.5,9.09,3.42,37.0,嘉義民雄光電,60.0
244,2017-09-02,18.05,2.1,10.09,3.58,82.0,嘉義民雄光電,60.0
245,2017-09-03,14.45,9.4,15.1,2.74,175.0,嘉義民雄光電,60.0
246,2017-09-04,14.8,0.1,5.01,2.12,168.0,嘉義民雄光電,60.0
247,2017-09-05,6.95,0.35,6.95,1.12,190.0,嘉義民雄光電,60.0
248,2017-09-06,19.2,1.75,10.2,2.43,115.0,嘉義民雄光電,60.0
249,2017-09-07,17.8,6.35,14.63,4.11,156.0,嘉義民雄光電,60.0
250,2017-09-08,20.0,2.75,12.94,5.03,107.0,嘉義民雄光電,60.0
251,2017-09-09,21.75,6.5,16.71,5.08,97.0,嘉義民雄光電,60.0
252,2017-09-10,20.5,0.2,5.51,3.52,155.0,嘉義民雄光電,60.0
253,2017-09-11,21.55,5.25,13.66,4.83,180.0,嘉義民雄光電,60.0
254,2017-09-12,21.85,7.6,17.03,4.7,163.0,嘉義民雄光電,60.0
255,2017-09-13,18.35,9.95,22.36,4.68,150.0,嘉義民雄光電,60.0
256,2017-09-14,18.8,6.55,16.42,3.61,177.0,嘉義民雄光電,60.0
257,2017-09-15,17.6,9.1,15.9,3.04,181.0,嘉義民雄光電,60.0
258,2017-09-16,16.0,7.15,14.87,3.48,180.0,嘉義民雄光電,60.0
259,2017-09-17,15.35,4.15,12.0,4.32,181.0,嘉義民雄光電,60.0
260,2017-09-18,14.45,7.6,19.26,5.04,157.0,嘉義民雄光電,60.0
261,2017-09-19,16.8,6.15,19.02,3.57,157.0,嘉義民雄光電,60.0
262,2017-09-20,17.6,1.65,10.54,5.15,159.0,嘉義民雄光電,60.0
263,2017-09-21,19.85,0.55,5.5,2.16,139.0,嘉義民雄光電,60.0
264,2017-09-22,21.6,2.8,13.94,5.89,159.0,嘉義民雄光電,60.0
265,2017-09-23,22.05,5.5,15.6,5.18,143.0,嘉義民雄光電,60.0
266,2017-09-24,20.2,1.1,7.68,4.88,164.0,嘉義民雄光電,60.0
267,2017-09-25,19.7,5.5,12.46,3.76,149.0,嘉義民雄光電,60.0
268,2017-09-26,18.05,0.15,7.86,2.36,117.0,嘉義民雄光電,60.0
269,2017-09-27,12.85,0.05,6.18,1.49,141.0,嘉義民雄光電,60.0
270,2017-09-28,13.45,6.05,12.87,2.28,113.0,嘉義民雄光電,60.0
271,2017-09-29,11.5,2.8,11.59,2.66,111.0,嘉義民雄光電,60.0
272,2017-09-30,15.15,5.25,15.9,3.55,166.0,嘉義民雄光電,60.0
273,2017-10-01,24.7,7.8,25.24,9.15,175.0,嘉義民雄光電,60.0
274,2017-10-02,35.75,15.8,37.33,10.46,164.0,嘉義民雄光電,60.0
275,2017-10-03,36.55,14.65,35.38,10.76,139.0,嘉義民雄光電,60.0
276,2017-10-04,37.45,10.65,30.86,11.13,107.0,嘉義民雄光電,60.0
277,2017-10-05,34.7,0.65,16.24,5.86,133.0,嘉義民雄光電,60.0
278,2017-10-06,36.0,12.5,28.24,8.94,152.0,嘉義民雄光電,60.0
279,2017-10-07,34.6,13.05,29.22,9.29,136.0,嘉義民雄光電,60.0
280,2017-10-08,28.4,6.0,19.56,6.23,103.0,嘉義民雄光電,60.0
281,2017-10-09,24.05,0.1,9.14,3.22,117.0,嘉義民雄光電,60.0
283,2017-10-11,20.05,11.9,24.3,6.28,198.0,嘉義民雄光電,60.0
284,2017-10-12,23.95,8.15,22.08,6.9,103.0,嘉義民雄光電,60.0
285,2017-10-13,30.6,9.4,25.21,6.76,51.0,嘉義民雄光電,60.0
286,2017-10-14,34.15,8.0,30.2,9.71,135.0,嘉義民雄光電,60.0
287,2017-10-15,37.5,8.45,26.82,10.66,29.0,嘉義民雄光電,60.0
288,2017-10-16,36.85,9.3,27.78,9.82,142.0,嘉義民雄光電,60.0
289,2017-10-17,35.55,3.5,20.41,9.86,104.0,嘉義民雄光電,60.0
290,2017-10-18,34.3,8.95,24.3,10.89,81.0,嘉義民雄光電,60.0
291,2017-10-19,35.8,12.5,27.14,7.92,115.0,嘉義民雄光電,60.0
292,2017-10-20,31.15,6.9,20.84,6.38,125.0,嘉義民雄光電,60.0
293,2017-10-21,18.4,13.95,25.69,5.54,82.0,嘉義民雄光電,60.0
294,2017-10-22,21.55,13.3,24.26,5.78,162.0,嘉義民雄光電,60.0
295,2017-10-23,19.75,8.2,23.44,7.27,126.0,嘉義民雄光電,60.0
296,2017-10-24,27.95,12.7,29.79,7.24,124.0,嘉義民雄光電,60.0
297,2017-10-25,22.7,14.4,35.42,11.58,123.0,嘉義民雄光電,60.0
298,2017-10-26,30.4,4.1,22.58,8.56,117.0,嘉義民雄光電,60.0
299,2017-10-27,34.65,8.25,26.06,11.36,142.0,嘉義民雄光電,60.0
300,2017-10-28,36.5,9.15,30.06,11.82,117.0,嘉義民雄光電,60.0
301,2017-10-29,34.1,6.55,21.32,11.79,149.0,嘉義民雄光電,60.0
302,2017-10-30,34.85,1.3,13.09,9.25,147.0,嘉義民雄光電,60.0
303,2017-10-31,35.5,9.85,25.88,7.3,142.0,嘉義民雄光電,60.0
304,2017-11-01,30.2,6.5,19.94,6.3,141.0,嘉義民雄光電,60.0
305,2017-11-02,27.4,4.5,15.85,3.36,111.0,嘉義民雄光電,60.0
306,2017-11-03,21.0,6.0,17.73,5.49,69.0,嘉義民雄光電,60.0
307,2017-11-04,22.35,8.45,23.48,7.02,104.0,嘉義民雄光電,60.0
308,2017-11-05,19.3,11.3,25.77,7.6,91.0,嘉義民雄光電,60.0
309,2017-11-06,29.55,7.25,25.22,5.84,59.0,嘉義民雄光電,60.0
310,2017-11-07,35.15,15.15,39.72,9.56,127.0,嘉義民雄光電,60.0
311,2017-11-08,36.25,8.65,29.82,8.2,124.0,嘉義民雄光電,60.0
312,2017-11-09,16.7,7.5,12.96,2.0,79.0,嘉義民雄光電,60.0
313,2017-11-10,13.4,0.45,8.07,1.72,37.0,嘉義民雄光電,60.0
314,2017-11-11,15.95,6.35,13.84,3.12,19.0,嘉義民雄光電,60.0
315,2017-11-12,18.1,10.7,22.16,3.46,39.0,嘉義民雄光電,60.0
316,2017-11-13,20.65,7.35,18.55,3.9,51.0,嘉義民雄光電,60.0
317,2017-11-14,21.45,2.4,11.91,3.27,82.0,嘉義民雄光電,60.0
318,2017-11-15,22.0,6.85,16.93,6.88,76.0,嘉義民雄光電,60.0
319,2017-11-16,22.8,5.9,15.9,5.3,120.0,嘉義民雄光電,60.0
320,2017-11-17,22.9,7.2,15.56,5.54,104.0,嘉義民雄光電,60.0
321,2017-11-18,22.0,4.9,12.96,4.58,108.0,嘉義民雄光電,60.0
322,2017-11-19,18.0,4.4,12.18,2.94,72.0,嘉義民雄光電,60.0
323,2017-11-20,12.35,5.0,10.14,2.49,98.0,嘉義民雄光電,60.0
324,2017-11-21,14.95,0.05,6.86,2.16,98.0,嘉義民雄光電,60.0
